,six_letter_name_Ronco,total_rest,peak_amplitude,peak,day_night_dif,cluster
0,Altcal,14.152500000000000,8.67826388888889,0.40277777777777800,-0.09688077196515010,1
1,Altcom,11.536666666666700,10.941111111111100,0.6388888888888890,0.19665849345890900,2
2,Altshe,17.582857142857100,6.977380952380950,0.28571428571428600,0.09149633032297060,8
3,Astbur,4.944545454545450,9.121136363636370,0.5833333333333330,0.4294522195252260,7
4,Auldew,2.9041666666666700,9.21701388888889,0.5347222222222220,0.06238460188031750,1
5,Boumic,4.72,10.390952380952400,0.7976190476190480,0.38297284209331300,7
6,Calple,7.163333333333340,8.700277777777770,0.5694444444444440,0.27048609389984800,7
7,Chacya,3.39,16.431666666666700,0.7916666666666670,-0.16012207516105000,1
8,Cphfro,3.3763636363636400,10.039848484848500,0.7045454545454550,0.12452903251695000,1
9,Ctehor,3.39125,11.789270833333300,0.65625,0.08360515253297680,7
10,Cypcol,11.216363636363600,5.142121212121210,0.4242424242424240,0.426427342979142,7
11,Cyplep,10.860833333333300,3.723055555555560,0.3472222222222220,0.1484576838488520,7
12,Enamel,11.02727272727270,13.137045454545500,0.5075757575757580,0.11506927870409600,12
13,Erecya,11.94,18.248611111111100,0.8333333333333330,0.40001251015559400,7
14,Gnapfe,11.641428571428600,16.972023809523800,0.4642857142857140,-0.08735346146753030,1
15,Hapred,5.136666666666670,22.721527777777800,0.7847222222222220,0.27052563397398500,7
16,Juldic,9.76090909090909,12.496666666666700,0.7727272727272730,0.2711256819363760,5
17,Julmrk,12.586666666666700,7.732777777777780,0.5833333333333330,0.09718364072663390,6
18,Julorn,13.143636363636400,4.8387121212121200,0.5303030303030300,0.2966545921057530,7
19,Lamsig,15.124615384615400,1.3230128205128200,0.16666666666666700,0.7108339541775940,7
20,Lepatt,10.391000000000000,14.820000000000000,0.6583333333333330,0.11105166756102200,2
21,Lepelo,12.68916666666670,15.176041666666700,0.7638888888888890,0.2007642540983360,4
22,Limdar,2.05,8.95702380952381,0.5476190476190480,-0.012583875319662600,7
23,Loblab,3.9700000000000000,18.545416666666700,0.9166666666666670,0.1809051720946730,7
24,Neobri,5.458333333333330,10.613819444444400,0.6250000000000000,0.2115405630709420,7
25,Neobue,6.64,10.825972222222200,0.8055555555555560,0.5022860239343770,7
26,Neocau,12.625,6.859583333333330,0.4166666666666670,-0.05864310395450490,4
27,Neocra,9.284545454545450,4.53212121212121,0.3787878787878790,0.24045543924088100,7
28,Neocyg,10.445833333333300,4.740000000000000,0.3333333333333330,0.026766750654670400,2
29,Neocyl,4.975833333333330,4.085555555555560,0.4930555555555550,-0.14918083311591,1
30,Neodev,5.98,14.424583333333300,0.8194444444444450,0.1357579777453640,11
31,NeofaM,11.583333333333300,4.740277777777780,0.39814814814814800,0.2468844118049720,7
32,Neofal,4.846666666666670,10.188888888888900,0.6527777777777780,-0.014723153647226600,2
33,Neogra,5.4000000000000000,1.9450000000000000,0.18939393939393900,0.07386104704604860,7
34,Neohel,9.334285714285720,11.656785714285700,0.6666666666666670,0.03556961029964330,2
35,Neokom,11.426666666666700,13.09013888888890,0.6388888888888890,0.037448593805856000,2
36,Neolon,2.6271428571428600,21.249642857142900,0.8809523809523810,0.1501775578693940,5
37,Neomar,6.158571428571430,7.206785714285720,0.6309523809523810,0.3425956462891890,7
38,Neonig,4.961666666666670,13.563819444444400,0.736111111111111,-0.21753522967672000,1
39,Neooli,5.420000000000000,11.764027777777800,0.75,-0.15650571273436600,2
40,Neopul,4.3875,14.582222222222200,0.6805555555555560,0.25104810568908100,9
41,Neosav,10.038,9.834500000000000,0.7000000000000000,0.26800645601932700,7
42,Neotoa,4.346363636363640,9.753787878787880,0.6060606060606060,-0.38080838815999800,1
43,Neotre,6.5737500000000000,6.874375,0.5625,-0.38968650986706800,1
44,NeoveS,12.39875,2.2211458333333300,0.2708333333333330,0.4375978509145070,7
45,Neowal,7.495,10.503958333333300,0.7291666666666670,-0.029608975403158300,1
46,Ophboo,0.819,24.820416666666700,0.7916666666666670,-0.046017303397363800,1
47,Pcynig,10.773636363636400,7.410075757575760,0.6439393939393940,0.10026267907225100,4
48,Petpol,4.16909090909091,33.48250000000000,0.7424242424242420,0.07328664157651070,2
49,Telluf,4.761428571428570,13.570119047619000,0.7738095238095240,0.08174351314702550,7
50,Trioto,7.708750000000000,15.754375000000000,0.7604166666666670,-0.019929593094957200,2
51,Tromoo,4.37,31.10738095238100,0.7976190476190480,0.21836551144646000,7
52,Tronig,4.495000000000000,19.070555555555600,0.8819444444444450,0.3775216122677730,7
53,Tylpol,3.1175000000000000,17.575833333333300,0.8958333333333330,-0.15114114518831200,2
54,Varmoo,8.015714285714290,4.199642857142860,0.28571428571428600,-0.021095241041008300,3
55,Xenbat,13.85375,1.1142500000000000,0.08750000000000000,-0.15273567622980900,1
56,Xenspi,7.255,4.880972222222220,0.3333333333333330,-0.07581714994970940,1